"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"354","RT @Nigel__DSouza: Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,0,NA,2017-08-19 12:54:36,FALSE,NA,"898890943570432000",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","Ayan__Ray",11,TRUE,FALSE,NA,NA
"355","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/n1gsmxepBZ",FALSE,0,NA,2017-08-19 12:51:33,FALSE,NA,"898890176226775041",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","dinkar13",0,FALSE,FALSE,NA,NA
"356","RT @Nigel__DSouza: Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,0,NA,2017-08-19 12:50:40,FALSE,NA,"898889954306043904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajivNShah1",11,TRUE,FALSE,NA,NA
"357","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/72ufbYWIc3",FALSE,0,NA,2017-08-19 12:46:50,FALSE,NA,"898888991025516544",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","Nirmalpanda4516",0,FALSE,FALSE,NA,NA
"358","@jainsanjay70 @Swamy39 @Infosys @jayantsinha We must not reveal how drastically Infy failed on its bid promises &amp; F… https://t.co/AZthRPm2uh",FALSE,8,"rohtakites",2017-08-19 12:43:33,TRUE,"898887111847313408","898888165506686977","879300916469542912","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rohtakites",5,FALSE,FALSE,NA,NA
"359","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/osOc3CBUUL",FALSE,0,NA,2017-08-19 12:41:47,FALSE,NA,"898887717437571072",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","DeepakTaylor",0,FALSE,FALSE,NA,NA
"360","RT @TheDailyPioneer: #NRNarayanaMurthy: Infosys co-founder NR Narayana Murthy today said he is not seeking ""any money, position for... http…",FALSE,0,NA,2017-08-19 12:41:15,FALSE,NA,"898887586294382593",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rajkdelhi",2,TRUE,FALSE,NA,NA
"361","RT @AEHarshada: @CNBC_Awaaz BG&amp;G's investigation concerns whether Infy and certain of its officers/ or directors have complied with federal…",FALSE,0,NA,2017-08-19 12:40:34,FALSE,NA,"898887412281102336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YksSaraswat",1,TRUE,FALSE,NA,NA
"362","RT @Nigel__DSouza: Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,0,NA,2017-08-19 12:33:13,FALSE,NA,"898885562114883584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShikhaJain01",11,TRUE,FALSE,NA,NA
"363","RT @Nigel__DSouza: Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,0,NA,2017-08-19 12:33:04,FALSE,NA,"898885526488457217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashishaggarwalh",11,TRUE,FALSE,NA,NA
"364","RT @Nigel__DSouza: Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,0,NA,2017-08-19 12:32:49,FALSE,NA,"898885464647544832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deepakmodi1983",11,TRUE,FALSE,NA,NA
"365","Infy buyback 
Scenario 2: assuming 2.9cr retail shares holders sub 2 lkh holding #infosys https://t.co/we3kumdQ1B",FALSE,24,NA,2017-08-19 12:30:48,FALSE,NA,"898884955228389376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nigel__DSouza",11,FALSE,FALSE,NA,NA
